# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 1855887383
#
# Children      Self  Command          Shared Object                   Symbol                                                                                                                                                                                                                                                                                                   
# ........  ........  ...............  ..............................  .........................................................................................................................................................................................................................................................................................................
#
     0.05%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] unmap_single_vma
     0.05%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] folios_put_refs
     0.05%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] unmap_page_range
     0.05%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] __page_cache_release.part.0
     0.05%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] zap_pmd_range.isra.0
     0.05%     0.00%  matrix_mul_pthr  matrix_mul_pthreads_c++17_perf  [.] _start
     0.05%     0.00%  matrix_mul_pthr  libc.so.6                       [.] __libc_start_main@@GLIBC_2.34
     0.05%     0.00%  matrix_mul_pthr  libc.so.6                       [.] __libc_start_call_main
     0.05%     0.00%  matrix_mul_pthr  libc.so.6                       [.] 0x0000779508e47bbe
     0.05%     0.00%  matrix_mul_pthr  libc.so.6                       [.] __run_exit_handlers
     0.05%     0.00%  matrix_mul_pthr  ld-linux-x86-64.so.2            [.] _dl_fini
     0.05%     0.00%  matrix_mul_pthr  ld-linux-x86-64.so.2            [.] _dl_call_fini
     0.05%     0.00%  matrix_mul_pthr  libstdc++.so.6.0.33             [.] 0x00007795092b7ac7
     0.05%     0.00%  matrix_mul_pthr  libc.so.6                       [.] __cxa_finalize
     0.05%     0.00%  matrix_mul_pthr  libstdc++.so.6.0.33             [.] std::ios_base::Init::~Init()
     0.05%     0.00%  matrix_mul_pthr  libstdc++.so.6.0.33             [.] std::ostream::flush()
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] update_rq_clock
     0.04%     0.04%  matrix_mul_pthr  [kernel.kallsyms]               [k] task_tick_fair
     0.04%     0.00%  matrix_mul_pthr  [unknown]                       [k] 0x00007742a40eef3b
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] __x64_sys_execve
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] do_execveat_common.isra.0
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] bprm_execve
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] bprm_execve.part.0
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] exec_binprm
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] search_binary_handler
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] load_elf_binary
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] elf_load
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] vm_munmap
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] __vm_munmap
     0.04%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] do_vmi_munmap
     0.02%     0.02%  matrix_mul_pthr  [kernel.kallsyms]               [k] rseq_ip_fixup
     0.02%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] syscall_exit_to_user_mode
     0.02%     0.02%  matrix_mul_pthr  [kernel.kallsyms]               [k] get_mem_cgroup_from_mm
     0.02%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] __mem_cgroup_charge
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] ret_from_fork_asm
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] ret_from_fork
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] finish_task_switch.isra.0
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] schedule_tail
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] native_write_msr
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] __perf_event_task_sched_in
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] perf_ctx_enable
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] x86_pmu_enable
     0.01%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] intel_pmu_enable_all
     0.01%     0.00%  perf-exec        [unknown]                       [k] 0x00007742a40eef3b
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] entry_SYSCALL_64_after_hwframe
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] do_syscall_64
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] x64_sys_call
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] __x64_sys_execve
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] do_execveat_common.isra.0
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] bprm_execve
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] bprm_execve.part.0
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] exec_binprm
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] search_binary_handler
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] load_elf_binary
     0.01%     0.00%  perf-exec        [kernel.kallsyms]               [k] begin_new_exec
     0.00%     0.00%  matrix_mul_pthr  [unknown]                       [k] 0x0000000000000151
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_iterate_ctx
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] __set_task_comm
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_event_comm
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_event_comm_event.constprop.0
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_iterate_sb.constprop.0
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] blkcg_maybe_throttle_current
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] end_repeat_nmi
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] nmi_restore
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] pv_native_write_cr2
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] native_write_msr
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_event_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_event_enable_on_exec
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] ctx_resched
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] perf_ctx_enable
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] x86_pmu_enable
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] intel_pmu_enable_all
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] default_do_nmi
     0.00%     0.00%  perf-exec        [kernel.kallsyms]               [k] pv_native_write_cr2
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] intel_bts_enable_local
     0.00%     0.00%  matrix_mul_pthr  [kernel.kallsyms]               [k] native_apic_msr_write
     0.00%     0.00%  matrix_mul_pthr  ld-linux-x86-64.so.2            [.] _dl_allocate_tls
     0.00%     0.00%  matrix_mul_pthr  libc.so.6                       [.] __libc_calloc


#
# (Cannot load tips.txt file, please install perf!)
#
